line,cmp,depth,curve
30,80,0,0.14112
30,80,1,-0.0583741
30,80,2,-0.255541
30,80,3,-0.44252
30,80,4,-0.611858
30,80,5,-0.756802
30,80,6,-0.871576
30,80,7,-0.951602
30,80,8,-0.993691
30,80,9,-0.996165
30,80,10,-0.958924
30,80,11,-0.883455
30,80,12,-0.772764
30,80,13,-0.631267
30,80,14,-0.464602
30,80,15,-0.279415
30,80,16,-0.0830894
30,80,17,0.116549
30,80,18,0.311541
30,80,19,0.494113
30,80,20,0.656987
30,80,21,0.793668
30,80,22,0.898708
30,80,23,0.96792
30,80,24,0.998543
30,80,25,0.989358
30,80,26,0.940731
30,80,27,0.854599
30,80,28,0.734397
30,80,29,0.584917
30,80,30,0.412118
30,80,31,0.22289
30,80,32,0.0247754
30,80,33,-0.174327
30,80,34,-0.366479
30,80,35,-0.544021
30,80,36,-0.699875
30,80,37,-0.827826
30,80,38,-0.922775
30,80,39,-0.980936
30,80,40,-0.99999
30,80,41,-0.979178
30,80,42,-0.919329
30,80,43,-0.822829
30,80,44,-0.693525
30,80,45,-0.536573
30,80,46,-0.358229
30,80,47,-0.165604
30,80,48,0.033623
30,80,49,0.23151
