line,cmp,mask
17,99,0
18,98,0
19,97,0
19,96,0
20,95,0.00150344
21,94,0.00392653
21,93,0.00673795
22,92,0.0156076
23,91,0.0333733
23,90,0.0507928
24,89,0.0963276
25,88,0.168638
25,87,0.227638
26,86,0.353455
27,85,0.506617
28,84,0.67032
28,83,0.771052
29,82,0.904837
30,81,0.980199
30,80,1
31,79,0.960789
32,78,0.852144
32,77,0.771052
33,76,0.606531
34,75,0.440432
34,73,0.272532
35,72,0.168638
36,71,0.0963276
36,70,0.0658748
37,69,0.0333733
38,68,0.0156076
38,67,0.00946646
39,66,0.00392653
40,65,0.00150344
40,64,0.0026852
41,63,0.00673795
42,62,0.0156076
43,61,0.0333733
43,60,0.0507928
44,59,0.0963276
45,58,0.168638
45,57,0.227638
46,56,0.353455
47,55,0.506617
47,54,0.606531
48,53,0.771052
49,52,0.904837
49,51,0.960789
50,50,1
50,50,1
50,51,0.980199
51,52,0.904837
51,53,0.818731
52,54,0.67032
52,55,0.559898
53,56,0.40657
53,57,0.313486
54,58,0.201897
54,59,0.143704
55,60,0.082085
55,61,0.0539337
55,62,0.0340475
56,64,0.0096577
56,65,0.00540733
57,66,0
57,67,0
58,68,0
58,69,0
59,70,0
59,70,0
60,71,0
61,72,0
62,73,0
63,74,0
64,75,0
65,76,0.000220415
66,77,0.000675539
67,78,0.00191125
68,79,0.00499159
69,79,0.00790705
70,80,0.0183156
71,81,0.0391639
72,82,0.0773047
73,83,0.140858
74,84,0.236928
75,85,0.367879
76,86,0.527292
77,87,0.697676
78,88,0.852144
79,89,0.960789
80,90,1
81,91,0.960789
82,92,0.852144
83,93,0.697676
84,94,0.527292
85,95,0.367879
86,96,0.236928
87,97,0.140858
88,98,0.0773047
89,99,0.0391639
